,Final_Score,3Yr_CAGR,Sharpe_Ratio,Sortino_Ratio,Alpha_Annualized,Beta,Max_Drawdown,Expense_Ratio
amfi_code,2.88,0.0,-15.956018086013016,0.0,0.0005575218032781543,-5.032683510474859e-06,0.0,0.011367182020405162
nav,,0.03130038718476569,0.10039005154706059,5.1959143688296265,,,-0.9979377097142629,0.021162143208968573
