date_key,amfi_code,nav
2012-12-31,119092,23.992
2013-01-01,119092,23.9979
2013-01-02,119092,24.0036
2013-01-03,119092,24.0092
2013-01-04,119092,24.0147
2013-01-05,119092,24.0147
2013-01-06,119092,24.0258
2013-01-07,119092,24.0314
2013-01-08,119092,24.0369
2013-01-09,119092,24.0424
2013-01-10,119092,24.0479
2013-01-11,119092,24.0534
2013-01-12,119092,24.0534
2013-01-13,119092,24.0643
2013-01-14,119092,24.0698
2013-01-15,119092,24.0754
2013-01-16,119092,24.0809
2013-01-17,119092,24.0863
2013-01-18,119092,24.0918
2013-01-19,119092,24.0918
2013-01-20,119092,24.1028
2013-01-21,119092,24.1084
2013-01-22,119092,24.1139
2013-01-23,119092,24.1194
2013-01-24,119092,24.1249
2013-01-25,119092,24.1249
2013-01-26,119092,24.1249
2013-01-27,119092,24.1413
2013-01-28,119092,24.1468
2013-01-29,119092,24.1522
2013-01-30,119092,24.1577
2013-01-31,119092,24.1631
2013-02-01,119092,24.1686
2013-02-02,119092,24.1686
2013-02-03,119092,24.1795
2013-02-04,119092,24.1849
2013-02-05,119092,24.1903
2013-02-06,119092,24.1959
2013-02-07,119092,24.2013
2013-02-08,119092,24.2067
2013-02-09,119092,24.2067
2013-02-10,119092,24.2174
2013-02-11,119092,24.223
2013-02-12,119092,24.2284
2013-02-13,119092,24.2338
2013-02-14,119092,24.2392
2013-02-15,119092,24.2446
2013-02-16,119092,24.2446
2013-02-17,119092,24.2554
2013-02-18,119092,24.2609
2013-02-19,119092,24.2664
2013-02-20,119092,24.2719
2013-02-21,119092,24.2773
2013-02-22,119092,24.2828
2013-02-23,119092,24.2828
2013-02-24,119092,24.2938
2013-02-25,119092,24.2993
2013-02-26,119092,24.3047
2013-02-27,119092,24.3102
2013-02-28,119092,24.3157
2013-03-01,119092,24.3212
2013-03-02,119092,24.3212
2013-03-03,119092,24.3322
2013-03-04,119092,24.3377
2013-03-05,119092,24.3433
2013-03-06,119092,24.3489
2013-03-07,119092,24.3546
2013-03-08,119092,24.3601
2013-03-09,119092,24.3601
2013-03-10,119092,24.3714
2013-03-11,119092,24.377
2013-03-12,119092,24.3827
2013-03-13,119092,24.3882
2013-03-14,119092,24.3939
2013-03-15,119092,24.3995
2013-03-16,119092,24.3995
2013-03-17,119092,24.4112
2013-03-18,119092,24.4172
2013-03-19,119092,24.423
2013-03-20,119092,24.4287
2013-03-21,119092,24.4344
2013-03-22,119092,24.4402
2013-03-23,119092,24.4402
2013-03-24,119092,24.4518
2013-03-25,119092,24.4577
2013-03-26,119092,24.464
2013-03-27,119092,24.4699
2013-03-28,119092,24.4795
2013-03-29,119092,24.4795
2013-03-30,119092,24.4795
2013-03-31,119092,24.4795
2013-04-01,119092,24.5163
2013-04-02,119092,24.5294
2013-04-03,119092,24.5363
2013-04-04,119092,24.5419
